job_name,task_name,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type
pai-pod-000000,tensorflow,Terminated,542323.0,1125536.0,600.0,29.296875,50.0,V100
pai-pod-000001,TensorboardTask,Terminated,810400.0,1124553.0,400.0,8.01953125,,
pai-pod-000002,TensorboardTask,Terminated,873190.0,1391517.0,400.0,8.01953125,,
pai-pod-000003,tensorflow,Terminated,889626.0,1127867.0,600.0,29.296875,50.0,V100
pai-pod-000004,tensorflow,Terminated,925461.0,1101832.0,600.0,29.296875,100.0,T4
pai-pod-000005,tensorflow,Terminated,931550.0,1106248.0,600.0,29.296875,100.0,MISC
pai-pod-000006,tensorflow,Terminated,952697.0,1251281.0,600.0,29.296875,400.0,P100
pai-pod-000007,tensorflow,Terminated,962704.0,1104810.0,600.0,29.296875,25.0,T4
pai-pod-000008,TensorboardTask,Terminated,984392.0,1380101.0,400.0,8.01953125,,
pai-pod-000009,TensorboardTask,Terminated,984682.0,1232221.0,100.0,1.97265625,,
pai-pod-000010,tensorflow,Terminated,991185.0,1101105.0,900.0,29.296875,100.0,T4
pai-pod-000011,PyTorchWorker,Terminated,991707.0,1232078.0,1800.0,58.59375,100.0,P100
pai-pod-000012,PyTorchWorker,Terminated,991774.0,1224062.0,1800.0,58.59375,100.0,P100
pai-pod-000013,PyTorchWorker,Terminated,991846.0,1149509.0,1800.0,58.59375,100.0,P100
pai-pod-000014,PyTorchWorker,Terminated,991915.0,1146545.0,1800.0,58.59375,100.0,P100
pai-pod-000015,tensorflow,Terminated,997465.0,1097553.0,1600.0,29.296875,100.0,MISC
pai-pod-000016,tensorflow,Terminated,997514.0,1103945.0,1600.0,29.296875,100.0,MISC
pai-pod-000017,PyTorchWorker,Terminated,998792.0,1104138.0,1800.0,58.59375,100.0,MISC
pai-pod-000018,PyTorchWorker,Terminated,999214.0,1113599.0,1800.0,58.59375,100.0,MISC
pai-pod-000019,PyTorchWorker,Terminated,999357.0,1130142.0,1800.0,58.59375,100.0,MISC
pai-pod-000020,tensorflow,Terminated,1000250.0,1115946.0,600.0,29.296875,50.0,MISC
pai-pod-000021,tensorflow,Terminated,1006750.0,1469553.0,600.0,29.296875,200.0,P100
pai-pod-000022,PyTorchWorker,Terminated,1008516.0,1162624.0,1800.0,58.59375,100.0,MISC
pai-pod-000023,tensorflow,Terminated,1010912.0,1195655.0,3200.0,29.296875,200.0,T4
pai-pod-000024,tensorflow,Terminated,1012382.0,1103851.0,2000.0,29.296875,100.0,MISC
pai-pod-000025,tensorflow,Terminated,1012429.0,1188238.0,600.0,29.296875,100.0,T4
pai-pod-000026,tensorflow,Terminated,1013313.0,1103522.0,1200.0,29.296875,100.0,MISC
pai-pod-000027,tensorflow,Terminated,1014151.0,1105019.0,1200.0,29.296875,100.0,MISC
pai-pod-000028,tensorflow,Terminated,1014195.0,1104209.0,1200.0,29.296875,100.0,MISC
pai-pod-000029,tensorflow,Terminated,1014211.0,1159270.0,600.0,29.296875,100.0,MISC
pai-pod-000030,tensorflow,Terminated,1014348.0,1110989.0,1200.0,29.296875,100.0,MISC
pai-pod-000031,tensorflow,Terminated,1014459.0,1104925.0,1200.0,29.296875,100.0,MISC
pai-pod-000032,tensorflow,Terminated,1014950.0,1104639.0,1200.0,29.296875,100.0,MISC
pai-pod-000033,tensorflow,Terminated,1015018.0,1106867.0,1200.0,29.296875,100.0,MISC
